Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Line Index,Passes Index
Steve Mandanda,FRA,Rennes,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,39,3690,1,49,44
Stole Dimitrievski,MKD,Rayo Vallecano,Spanish La Liga,GK,Goalkeeper,30,3330,1,57,43
Sven Ulreich,GER,Bayern Munich,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,35,1260,1,50,45
Thibaut Courtois,BEL,Real Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,32,422,1,89,49
Thomas Kaminski,BEL,Luton Town,English Premier League,GK,Goalkeeper,31,3405,1,37,61
Thomas Strakosha,ALB,Brentford,English Premier League,GK,Goalkeeper,28,135,1,49,72
Timon Wellenreuther,GER,Feyenoord,"UEFA Champions League, UEFA Europa League",GK,Goalkeeper,28,360,1,35,54
Tobias Lawal,AUT,LASK,UEFA Europa League,GK,Goalkeeper,23,540,1,47,23
Tommaso Martinelli,ITA,Fiorentina,Italian Serie A,GK,Goalkeeper,18,90,1,9,42
Tomáš Koubek,CZE,Augsburg,German Bundesliga,GK,Goalkeeper,31,270,1,32,48
Unai Marrero,ESP,Real Sociedad,Spanish La Liga,GK,Goalkeeper,22,142,1,35,54
Unai Simón,ESP,Athletic Club,Spanish La Liga,GK,Goalkeeper,26,3182,1,73,56
Vanja Milinković-Savić,SRB,Torino,Italian Serie A,GK,Goalkeeper,27,3240,1,75,71
Vaná,BRA,Aris Limassol FC,UEFA Europa League,GK,Goalkeeper,32,540,1,66,47
Veljko Ilic,SRB,TSC,UEFA Europa League,GK,Goalkeeper,20,450,1,17,38
Vicente Guaita,ESP,Celta Vigo,Spanish La Liga,GK,Goalkeeper,37,2403,1,62,56
Viktor Baier,CZE,Viktoria Plzeň,UEFA Europa Conference League,GK,Goalkeeper,18,270,1,79,43
Vincenzo Fiorillo,ITA,Salernitana,Italian Serie A,GK,Goalkeeper,34,360,1,45,39
Vitezslav Jaros,CZE,Sturm Graz,UEFA Europa Conference League,GK,Goalkeeper,22,360,1,82,33
Vito Mannone,ITA,Lille,"French Ligue 1, UEFA Europa Conference League",GK,Goalkeeper,36,361,1,85,30
Vladan Kovačević,BIH,Raków,UEFA Europa League,GK,Goalkeeper,25,540,1,76,40
Walter Benítez,ARG,PSV Eindhoven,UEFA Champions League,GK,Goalkeeper,31,720,1,30,45
Wes Foderingham,ENG,Sheffield Utd,English Premier League,GK,Goalkeeper,33,2649,1,37,53
Wladimiro Falcone,ITA,Lecce,Italian Serie A,GK,Goalkeeper,29,3420,1,49,36
Wojciech Szczęsny,POL,Juventus,Italian Serie A,GK,Goalkeeper,34,3150,1,58,48
Yann Sommer,SUI,Inter,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,35,3690,1,77,44
Yassine Bounou,MAR,Sevilla,Spanish La Liga,GK,Goalkeeper,32,90,1,7,56
Yehvann Diouf,SEN,Reims,French Ligue 1,GK,Goalkeeper,24,3060,1,47,54
Yuri Lodygin,RUS,Panathinaikos,UEFA Europa League,GK,Goalkeeper,33,90,1,22,49
Yvon Mvogo,SUI,Lorient,French Ligue 1,GK,Goalkeeper,29,3060,1,49,51
Álex Remiro,ESP,Real Sociedad,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,29,3995,1,69,56
Álvaro Vallés,ESP,Las Palmas,Spanish La Liga,GK,Goalkeeper,26,3263,1,70,56
Ørjan Nyland,NOR,Sevilla,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,33,2340,1,72,63
Đorđe Petrović,SRB,Chelsea,English Premier League,GK,Goalkeeper,24,1987,1,35,37
İrfan Can Eğribayat,TUR,Fenerbahçe,UEFA Europa Conference League,GK,Goalkeeper,25,360,1,68,52
Łukasz Fabiański,POL,West Ham,"English Premier League, UEFA Europa League",GK,Goalkeeper,39,1531,1,65,60
Łukasz Skorupski,POL,Bologna,Italian Serie A,GK,Goalkeeper,33,2880,1,53,36
